first_name,last_name,age,email,country,postal_code,favorite_color,frequency_of_visits,favorite_menu_item,employment_status,Gender,Is Male,Above 30,Below 30
Danica,Gullam,71,dgullam19@odnoklassniki.ru,Russia,456684,red,6.8,Big Mac,Student,Female,0,1,0
Randa,Sheldrick,45,rsheldrick1a@fda.gov,China,,red,1.2,Big Mac,Retired,Female,0,1,0
Catharine,Clemenzo,52,cclemenzo1b@economist.com,United States,30343,red,5.1,Quarter Pounder,Full-time,Female,0,1,0
Marion,Stobo,58,mstobo1c@woothemes.com,Ukraine,,red,0.8,Quarter Pounder,Full-time,Male,1,1,0
Deonne,Peckett,37,dpeckett1d@mtv.com,Russia,140083,green,6.6,McNuggets,Retired,Female,0,1,0
Faustine,Renneke,22,frenneke1e@youtube.com,Portugal,3105-222,green,1.7,Big Mac,Part-time,Female,0,0,1
Nichole,Leathwood,64,nleathwood1f@w3.org,Peru,,blue,3.8,Quarter Pounder,Student,Female,0,1,0
Darryl,Flegg,84,dflegg1g@msn.com,Philippines,6046,red,3.6,Big Mac,Student,Female,0,1,0
Kerry,Sermin,37,ksermin1h@livejournal.com,Philippines,1111,blue,4.4,McNuggets,Part-time,Male,1,1,0
Ola,Dericot,34,odericot1i@newsvine.com,Ukraine,,green,6.8,McNuggets,Part-time,Female,0,1,0
Berny,Burtwhistle,25,bburtwhistle1j@independent.co.uk,Venezuela,,green,4.8,Quarter Pounder,Retired,Male,1,0,1
Orion,Luipold,27,oluipold1k@barnesandnoble.com,Indonesia,,red,1.3,Big Mac,Part-time,Male,1,0,1
Zena,Simek,27,zsimek1l@google.co.uk,Indonesia,,red,1.2,McNuggets,Full-time,Female,0,0,1
Paige,Codrington,82,pcodrington1m@theatlantic.com,Philippines,4325,red,1.9,Big Mac,Full-time,Female,0,1,0
Natka,Aldersea,56,naldersea1n@google.com.hk,China,,blue,5.2,McNuggets,Student,Female,0,1,0
Jedd,Tatton,31,jtatton1o@php.net,Sweden,862 95,blue,3.8,McNuggets,Part-time,Male,1,1,0
Florinda,Jenkins,57,fjenkins1p@de.vu,China,,green,5.7,Quarter Pounder,Student,Female,0,1,0
Menard,Mynett,20,mmynett1q@people.com.cn,Japan,939-1733,red,5.2,Quarter Pounder,Retired,Male,1,0,1
Ardelis,Heaseman,35,aheaseman1r@soup.io,Georgia,,blue,5.0,Quarter Pounder,Retired,Female,0,1,0
Carrol,Luetkemeyer,33,cluetkemeyer1s@columbia.edu,Russia,659555,green,0.8,McNuggets,Part-time,Male,1,1,0
Dasie,Stebbings,24,dstebbings1t@blog.com,Russia,171649,blue,4.1,Quarter Pounder,Student,Female,0,0,1
Dinny,Prangnell,78,dprangnell1u@paypal.com,China,,blue,3.8,Big Mac,Student,Female,0,1,0
Cullin,Guillart,34,cguillart1v@independent.co.uk,France,35102 CEDEX 3,blue,3.5,Big Mac,Student,Male,1,1,0
Corrianne,Pitfield,59,cpitfield1w@scribd.com,Pakistan,53401,green,5.1,Big Mac,Retired,Female,0,1,0
Nikolia,Keatley,25,nkeatley1x@si.edu,Portugal,2070-510,red,6.3,McNuggets,Student,Female,0,0,1
Amery,Heasly,24,aheasly1y@fc2.com,Indonesia,,blue,2.7,Big Mac,Part-time,Male,1,0,1
Orelia,Gatch,71,ogatch1z@slate.com,Indonesia,,green,3.9,McNuggets,Part-time,Female,0,1,0
Nonah,Nials,70,nnials20@devhub.com,Brazil,28300-000,red,5.4,Quarter Pounder,Retired,Female,0,1,0
Randee,Esson,34,resson21@fastcompany.com,Kazakhstan,,green,5.9,Big Mac,Part-time,Female,0,1,0
Aaren,Bewshaw,52,abewshaw22@google.it,Portugal,2560-057,blue,2.0,Big Mac,Part-time,Female,0,1,0
Marysa,Drynan,24,mdrynan23@washington.edu,Estonia,,red,3.7,Quarter Pounder,Student,Female,0,0,1
Sue,Isaksen,80,sisaksen24@mayoclinic.com,Uganda,,green,0.8,McNuggets,Part-time,Female,0,1,0
Margarete,Auston,60,mauston25@blogger.com,China,,red,2.7,Quarter Pounder,Retired,Female,0,1,0
Bobbette,Galletly,78,bgalletly26@so-net.ne.jp,Russia,152130,green,6.9,McNuggets,Retired,Female,0,1,0
Doralia,Enochsson,32,denochsson27@ftc.gov,Philippines,6407,blue,1.8,Quarter Pounder,Full-time,Female,0,1,0
Christye,Guitonneau,39,cguitonneau28@google.com.hk,China,,green,2.8,Big Mac,Retired,Female,0,1,0
Melicent,Maureen,35,mmaureen29@guardian.co.uk,Philippines,2812,red,0.2,Quarter Pounder,Full-time,Female,0,1,0
Teri,Newlove,60,tnewlove2a@discuz.net,China,,blue,2.4,Quarter Pounder,Part-time,Female,0,1,0
Melania,Lammerich,63,mlammerich2b@last.fm,Poland,34-103,blue,0.7,Big Mac,Part-time,Female,0,1,0
Rahel,Mountney,27,rmountney2c@desdev.cn,Sweden,144 40,green,0.4,McNuggets,Part-time,Female,0,0,1
Killy,Horlick,22,khorlick2d@wikimedia.org,Portugal,3070-024,blue,0.8,Big Mac,Student,Male,1,0,1
Lawry,Musslewhite,60,lmusslewhite2e@opensource.org,Nigeria,,green,5.6,McNuggets,Full-time,Male,1,1,0
Bayard,Hydes,84,bhydes2f@timesonline.co.uk,Brazil,49945-000,blue,6.6,Quarter Pounder,Full-time,Male,1,1,0
Holli,Valder,49,hvalder2g@last.fm,Philippines,6506,blue,3.1,McNuggets,Retired,Female,0,1,0
Baudoin,Buterton,20,bbuterton2h@example.com,China,,blue,1.4,Quarter Pounder,Student,Male,1,0,1
Ruby,Priditt,33,rpriditt2i@arstechnica.com,Brazil,57910-000,red,0.3,Quarter Pounder,Part-time,Female,0,1,0
Nobe,Richin,48,nrichin2j@marriott.com,Philippines,4327,red,6.4,McNuggets,Part-time,Male,1,1,0
Julian,Geertz,75,jgeertz2k@timesonline.co.uk,Russia,446870,red,0.0,McNuggets,Full-time,Male,1,1,0
Martina,Quenby,69,mquenby2l@uiuc.edu,Thailand,86220,green,2.3,Quarter Pounder,Part-time,Female,0,1,0
Talbot,Domotor,26,tdomotor2m@imgur.com,Israel,,green,3.8,Big Mac,Part-time,Male,1,0,1
Harvey,Glazyer,40,hglazyer2n@example.com,Indonesia,,green,3.9,Quarter Pounder,Full-time,Male,1,1,0
Caterina,Kingham,52,ckingham2o@canalblog.com,Indonesia,,blue,1.6,McNuggets,Retired,Female,0,1,0
Yardley,Grandham,84,ygrandham2p@istockphoto.com,Montenegro,,green,1.5,Quarter Pounder,Retired,Male,1,1,0
Olag,Arnaldi,45,oarnaldi2q@joomla.org,Philippines,1801,blue,6.2,Quarter Pounder,Full-time,Male,1,1,0
Stephanus,Croce,56,scroce2r@wp.com,Peru,,red,0.6,Quarter Pounder,Full-time,Male,1,1,0
Sharla,Yerrill,37,syerrill2s@fda.gov,Philippines,9406,blue,4.1,McNuggets,Retired,Female,0,1,0
Joyous,Critchlow,74,jcritchlow2t@usatoday.com,Serbia,,blue,0.0,McNuggets,Part-time,Female,0,1,0
Brandyn,Kelsell,31,bkelsell2u@artisteer.com,China,,green,5.8,Quarter Pounder,Retired,Male,1,1,0
Olivia,Meadway,62,omeadway2v@friendfeed.com,Czech Republic,273 02,green,6.7,McNuggets,Full-time,Female,0,1,0
Nicolai,Pettinger,29,npettinger2w@tinyurl.com,France,59961 CEDEX,blue,5.9,Big Mac,Retired,Male,1,0,1
Denver,Dunkersley,60,ddunkersley2x@diigo.com,Portugal,3720-546,blue,1.1,Quarter Pounder,Part-time,Male,1,1,0
Hewett,Peirce,60,hpeirce2y@ask.com,China,,green,6.3,Quarter Pounder,Student,Male,1,1,0
Henri,Cranson,64,hcranson2z@theguardian.com,Indonesia,,blue,1.4,Big Mac,Part-time,Male,1,1,0
Olenolin,Caris,29,ocaris30@stumbleupon.com,China,,red,2.4,McNuggets,Student,Male,1,0,1
Ardyth,Eefting,56,aeefting31@xing.com,Brazil,75600-000,red,5.6,Big Mac,Retired,Female,0,1,0
Tedi,Doore,53,tdoore32@eepurl.com,Azerbaijan,,blue,5.1,Big Mac,Retired,Female,0,1,0
Alysia,De Cristoforo,22,adecristoforo33@desdev.cn,China,,red,4.9,Big Mac,Full-time,Female,0,0,1
Cherri,Van Bruggen,45,cvanbruggen34@ocn.ne.jp,Portugal,4640-340,blue,1.7,Quarter Pounder,Full-time,Female,0,1,0
Umeko,Mullins,80,umullins35@w3.org,China,,green,6.4,Big Mac,Student,Female,0,1,0
Jaimie,Kless,83,jkless36@arizona.edu,Russia,422549,red,6.5,Quarter Pounder,Part-time,Male,1,1,0
Rhett,Neathway,72,rneathway37@multiply.com,Portugal,2615-284,green,5.9,McNuggets,Full-time,Male,1,1,0
Evita,Iveson,72,eiveson38@blogtalkradio.com,Indonesia,,blue,0.3,Quarter Pounder,Part-time,Female,0,1,0
Carolee,Truman,47,ctruman39@list-manage.com,Japan,501-4455,blue,3.2,Quarter Pounder,Full-time,Female,0,1,0
Alvan,Twoohy,74,atwoohy3a@merriam-webster.com,Montenegro,,red,4.3,Quarter Pounder,Part-time,Male,1,1,0
Celinka,Bearman,84,cbearman3b@exblog.jp,China,,green,5.7,McNuggets,Part-time,Female,0,1,0
Amata,Waye,26,awaye3c@rediff.com,Uzbekistan,,blue,3.8,Quarter Pounder,Part-time,Female,0,0,1
Mace,Hindrick,52,mhindrick3d@tripod.com,Comoros,,green,1.0,Big Mac,Retired,Male,1,1,0
Giustino,Klagges,25,gklagges3e@uiuc.edu,Spain,24010,blue,3.4,McNuggets,Part-time,Male,1,0,1
Myrtice,Nesterov,46,mnesterov3f@buzzfeed.com,China,,red,3.7,McNuggets,Part-time,Female,0,1,0
Ugo,Thurske,25,uthurske3g@whitehouse.gov,China,,blue,0.3,McNuggets,Part-time,Male,1,0,1
Candice,Osbourne,58,cosbourne3h@amazon.co.jp,Brazil,75000-000,red,5.4,Big Mac,Part-time,Female,0,1,0
Ferdinande,Ruppertz,64,fruppertz3i@globo.com,China,,green,6.0,Big Mac,Student,Female,0,1,0
Claudianus,Chanders,47,cchanders3j@imageshack.us,Pakistan,29051,blue,5.5,Big Mac,Full-time,Male,1,1,0
Peria,Tollit,20,ptollit3k@imdb.com,Central African Republic,,blue,6.2,Quarter Pounder,Retired,Female,0,0,1
Marcelle,Layman,72,mlayman3l@examiner.com,Honduras,,red,1.4,Big Mac,Full-time,Female,0,1,0
Decca,Trowl,59,dtrowl3m@comsenz.com,Russia,618100,blue,4.4,Big Mac,Part-time,Male,1,1,0
Antoni,Klas,18,aklas3n@vinaora.com,Nigeria,,red,1.4,Big Mac,Part-time,Male,1,0,1
Rene,Baddoe,80,rbaddoe3o@e-recht24.de,Philippines,1706,blue,2.7,McNuggets,Full-time,Male,1,1,0
Bennie,Jutson,43,bjutson3p@arstechnica.com,Poland,77-116,green,2.4,Big Mac,Part-time,Male,1,1,0
Howey,Lammertz,32,hlammertz3q@washingtonpost.com,Guatemala,07019,green,5.4,Big Mac,Retired,Male,1,1,0
Harman,Shobrook,23,hshobrook3r@unblog.fr,Russia,196851,blue,5.2,McNuggets,Retired,Male,1,0,1
Renaud,Burnard,21,rburnard3s@deliciousdays.com,China,,green,0.8,Big Mac,Retired,Male,1,0,1
Cyrille,Imore,67,cimore3t@friendfeed.com,Sweden,462 87,red,3.9,Big Mac,Retired,Male,1,1,0
Fran,Peterffy,38,fpeterffy3u@answers.com,Russia,353147,red,6.3,McNuggets,Part-time,Female,0,1,0
Audi,Mayell,19,amayell3v@github.com,Poland,34-651,green,3.6,McNuggets,Retired,Female,0,0,1
Alphard,Braybrooks,65,abraybrooks3w@yelp.com,Vietnam,,red,5.9,Big Mac,Part-time,Male,1,1,0
Ermina,McConnell,37,emcconnell3x@geocities.jp,Peru,,blue,4.6,McNuggets,Part-time,Female,0,1,0
Armand,Magne,34,amagne3y@cbsnews.com,Philippines,1950,green,6.0,Quarter Pounder,Retired,Male,1,1,0
Hyacinthie,Wavish,80,hwavish3z@opensource.org,Papua New Guinea,,red,6.2,Quarter Pounder,Full-time,Female,0,1,0
Shandeigh,Faucherand,39,sfaucherand40@upenn.edu,Chad,,green,0.5,Quarter Pounder,Retired,Female,0,1,0
Erin,O'Dyvoy,61,eodyvoy41@independent.co.uk,New Zealand,4820,green,2.6,Big Mac,Retired,Male,1,1,0
Rolando,Tedstone,39,rtedstone42@amazon.co.uk,Indonesia,,blue,6.9,McNuggets,Part-time,Male,1,1,0
Issi,Aynold,24,iaynold43@spiegel.de,Indonesia,,blue,6.5,McNuggets,Student,Female,0,0,1
Emanuel,Pietroni,30,epietroni44@princeton.edu,China,,green,1.7,Quarter Pounder,Retired,Male,1,1,1
Cly,Birtwisle,81,cbirtwisle45@elpais.com,Ireland,Y25,blue,0.5,Big Mac,Student,Male,1,1,0
Wainwright,Luton,38,wluton46@alibaba.com,Cuba,,red,6.7,Quarter Pounder,Part-time,Male,1,1,0
Cosette,Jakab,76,cjakab47@techcrunch.com,North Korea,,red,1.5,McNuggets,Student,Female,0,1,0
Pearl,Boule,33,pboule48@nytimes.com,China,,green,2.2,Quarter Pounder,Full-time,Female,0,1,0
Montgomery,Craster,66,mcraster49@naver.com,Peru,,red,3.6,Quarter Pounder,Full-time,Male,1,1,0
Dwayne,Cassidy,83,dcassidy4a@cnbc.com,Indonesia,,green,4.9,Big Mac,Student,Male,1,1,0
Chicky,Siverns,40,csiverns4b@berkeley.edu,China,,blue,1.9,McNuggets,Retired,Female,0,1,0
Viva,Cobden,37,vcobden4c@wisc.edu,Argentina,3600,green,0.4,Quarter Pounder,Student,Female,0,1,0
Sauveur,Water,64,swater4d@furl.net,Peru,,red,6.0,Quarter Pounder,Student,Male,1,1,0
Hartley,Grieve,60,hgrieve4e@dell.com,Armenia,,green,3.2,Big Mac,Retired,Male,1,1,0
Hilario,Plet,25,hplet4f@lulu.com,Philippines,5507,green,2.4,Quarter Pounder,Full-time,Male,1,0,1
Wilfrid,Van de Vlies,64,wvandevlies4g@toplist.cz,United States,90094,green,4.6,Big Mac,Full-time,Male,1,1,0
Corrinne,Naseby,82,cnaseby4h@google.co.jp,Hungary,7646,green,6.4,McNuggets,Retired,Female,0,1,0
Hy,Sowersby,70,hsowersby4i@free.fr,Palestinian Territory,,green,3.7,Quarter Pounder,Retired,Male,1,1,0
Herold,Marzelle,51,hmarzelle4j@nih.gov,Croatia,40318,blue,4.6,Quarter Pounder,Full-time,Male,1,1,0
Fayette,Rickett,53,frickett4k@biglobe.ne.jp,Democratic Republic of the Congo,,green,0.2,Quarter Pounder,Student,Female,0,1,0
Austina,Larway,28,alarway4l@foxnews.com,Canada,J9Z,green,3.5,Quarter Pounder,Full-time,Female,0,0,1
Annadiane,MacVean,31,amacvean4m@deliciousdays.com,Indonesia,,blue,2.1,Big Mac,Part-time,Female,0,1,0
Issie,Stockney,25,istockney4n@rediff.com,China,,red,0.4,Quarter Pounder,Part-time,Female,0,0,1
Job,Punchard,57,jpunchard4o@webeden.co.uk,Peru,,red,4.5,Big Mac,Student,Male,1,1,0
Sioux,Canedo,53,scanedo4p@pcworld.com,Sweden,152 31,blue,2.7,McNuggets,Part-time,Female,0,1,0
Billye,Hollingshead,57,bhollingshead4q@msn.com,Chile,,red,6.6,McNuggets,Retired,Female,0,1,0
Shani,Sprackling,50,ssprackling4r@cloudflare.com,Argentina,1862,green,0.5,Big Mac,Part-time,Female,0,1,0
Antonie,Goodenough,24,agoodenough4s@uiuc.edu,Indonesia,,blue,1.5,McNuggets,Student,Female,0,0,1
Laetitia,De Bruyn,22,ldebruyn4t@pen.io,Chile,,green,6.4,Quarter Pounder,Retired,Female,0,0,1
Ted,Dyble,62,tdyble4u@blog.com,Mauritius,,red,1.6,Big Mac,Full-time,Male,1,1,0
Garland,Axon,71,gaxon4v@craigslist.org,Uruguay,,blue,3.3,McNuggets,Full-time,Female,0,1,0
Wilek,Sansum,42,wsansum4w@g.co,Ukraine,,blue,1.0,Big Mac,Part-time,Male,1,1,0
Bridgette,Demead,40,bdemead4x@senate.gov,Argentina,9105,green,6.1,Big Mac,Part-time,Female,0,1,0
Paddy,Dand,45,pdand4y@ovh.net,Portugal,3800-596,red,6.8,Quarter Pounder,Full-time,Male,1,1,0
Sonnnie,Goldsmith,77,sgoldsmith4z@imageshack.us,Philippines,9104,red,0.6,Quarter Pounder,Part-time,Female,0,1,0
Thorpe,Mouland,22,tmouland50@home.pl,Brazil,37250-000,blue,6.0,McNuggets,Retired,Male,1,0,1
Aron,Seatter,36,aseatter51@ibm.com,China,,blue,3.2,Quarter Pounder,Student,Male,1,1,0
Tadeas,Barkway,37,tbarkway52@goodreads.com,Indonesia,,red,1.5,McNuggets,Full-time,Male,1,1,0
Jone,Dayer,40,jdayer53@epa.gov,Brazil,89270-000,red,2.2,Big Mac,Retired,Male,1,1,0
Johnnie,Hasney,39,jhasney54@bbc.co.uk,France,70030 CEDEX,red,7.0,Quarter Pounder,Retired,Male,1,1,0
Lynna,Sinson,80,lsinson55@moonfruit.com,Russia,431435,red,3.5,McNuggets,Part-time,Female,0,1,0
Berkie,Raiker,81,braiker56@netlog.com,China,,green,3.9,McNuggets,Student,Male,1,1,0
Fonz,Feldmark,83,ffeldmark57@google.pl,United States,78682,green,0.1,Quarter Pounder,Student,Male,1,1,0
Laraine,Dayne,84,ldayne58@mtv.com,Nigeria,,green,2.3,Quarter Pounder,Full-time,Female,0,1,0
Corine,Champerlen,40,cchamperlen59@answers.com,Ivory Coast,,green,6.3,Quarter Pounder,Part-time,Female,0,1,0
Frazer,Trodd,71,ftrodd5a@spiegel.de,Czech Republic,382 08,green,4.7,Quarter Pounder,Part-time,Male,1,1,0
Jeniece,Woods,81,jwoods5b@lycos.com,Peru,,red,1.3,Quarter Pounder,Full-time,Female,0,1,0
Adams,Caley,78,acaley5c@themeforest.net,China,,red,1.7,McNuggets,Full-time,Male,1,1,0
Jana,Loughney,69,jloughney5d@un.org,Ivory Coast,,blue,5.7,McNuggets,Part-time,Female,0,1,0
Sauncho,Buffham,44,sbuffham5e@is.gd,Brazil,37160-000,red,1.0,McNuggets,Part-time,Male,1,1,0
Gaylor,Gozzett,85,ggozzett5f@thetimes.co.uk,Poland,26-113,green,0.1,Quarter Pounder,Part-time,Male,1,1,0
Baxter,Deverale,60,bdeverale5g@elpais.com,Poland,34-115,green,2.3,Big Mac,Part-time,Male,1,1,0
Bridie,McArthur,35,bmcarthur5h@digg.com,United States,40293,red,2.5,Big Mac,Part-time,Female,0,1,0
Cher,Deneve,37,cdeneve5i@dmoz.org,Philippines,6527,blue,2.0,McNuggets,Student,Female,0,1,0
Haskell,Wookey,37,hwookey5j@forbes.com,Indonesia,,red,2.4,Quarter Pounder,Student,Male,1,1,0
Micky,Novotne,40,mnovotne5k@netvibes.com,Colombia,735569,red,2.8,McNuggets,Part-time,Male,1,1,0
Arden,Dunning,36,adunning5l@csmonitor.com,Croatia,42242,blue,0.8,Quarter Pounder,Retired,Female,0,1,0
Petronille,Ebbin,38,pebbin5m@slashdot.org,Equatorial Guinea,,green,3.9,McNuggets,Part-time,Female,0,1,0
Grete,Burkhill,79,gburkhill5n@homestead.com,China,,blue,1.5,McNuggets,Part-time,Female,0,1,0
Devin,Schottli,25,dschottli5o@squarespace.com,Brazil,48000-000,blue,4.0,Big Mac,Retired,Female,0,0,1
Armstrong,Kells,36,akells5p@deliciousdays.com,Portugal,3025-389,blue,3.0,Quarter Pounder,Student,Male,1,1,0
Vanya,Fer,68,vfer5q@com.com,China,,red,6.4,Big Mac,Student,Female,0,1,0
Joannes,Corbishley,24,jcorbishley5r@nps.gov,Sweden,411 36,red,4.3,McNuggets,Student,Female,0,0,1
Haze,Macro,35,hmacro5s@edublogs.org,Czech Republic,696 85,blue,6.1,Big Mac,Student,Male,1,1,0
Glenn,Willingham,40,gwillingham5t@joomla.org,China,,red,3.8,Big Mac,Retired,Female,0,1,0
Asher,Goldhawk,56,agoldhawk5u@blogger.com,France,37032 CEDEX 1,red,2.7,Big Mac,Retired,Male,1,1,0
Terza,Axtens,83,taxtens5v@360.cn,Armenia,,green,4.9,Quarter Pounder,Retired,Female,0,1,0
Susette,Jewiss,81,sjewiss5w@aboutads.info,China,,blue,6.8,Quarter Pounder,Student,Female,0,1,0
Rahal,Frankowski,72,rfrankowski5x@oaic.gov.au,France,13841 CEDEX,blue,2.8,Big Mac,Student,Female,0,1,0
Kameko,Sayes,84,ksayes5y@multiply.com,Nigeria,,red,5.1,Big Mac,Retired,Female,0,1,0
Bartram,Kermath,59,bkermath5z@prnewswire.com,Russia,649743,green,6.3,Quarter Pounder,Part-time,Male,1,1,0
Terrill,Snufflebottom,22,tsnufflebottom60@cbslocal.com,Democratic Republic of the Congo,,red,5.6,Big Mac,Retired,Male,1,0,1
Jacquenetta,Kernoghan,19,jkernoghan61@adobe.com,Guatemala,02004,blue,3.0,Big Mac,Student,Female,0,0,1
Krystalle,Broyd,81,kbroyd62@aboutads.info,Sweden,553 02,red,5.3,Big Mac,Part-time,Female,0,1,0
Jose,Lamperti,61,jlamperti63@pagesperso-orange.fr,China,,red,6.6,Quarter Pounder,Retired,Male,1,1,0
Tanhya,Chawkley,80,tchawkley64@arstechnica.com,Australia,5874,blue,1.6,Quarter Pounder,Part-time,Female,0,1,0
Sunshine,Senton,23,ssenton65@github.com,Kenya,,green,6.3,Big Mac,Part-time,Female,0,0,1
Tyson,Scobie,60,tscobie66@dmoz.org,Madagascar,,blue,1.7,Big Mac,Part-time,Male,1,1,0
Martguerita,Besnardeau,44,mbesnardeau67@state.tx.us,Argentina,6100,green,3.0,Quarter Pounder,Student,Female,0,1,0
Dulce,Heasman,62,dheasman68@pbs.org,Japan,999-3776,red,6.7,Quarter Pounder,Part-time,Female,0,1,0
Barbi,McKeney,76,bmckeney69@chron.com,Bosnia and Herzegovina,,blue,1.4,Big Mac,Student,Female,0,1,0
Huberto,Evitt,56,hevitt6a@va.gov,Israel,,blue,4.8,Quarter Pounder,Part-time,Male,1,1,0
Rudolph,Barca,22,rbarca6b@comsenz.com,Serbia,,green,1.5,Big Mac,Full-time,Male,1,0,1
Herrick,Burnand,43,hburnand6c@hud.gov,China,,green,6.2,McNuggets,Retired,Male,1,1,0
Lewie,Thowless,72,lthowless6d@mysql.com,Indonesia,,green,1.5,Quarter Pounder,Part-time,Male,1,1,0
Shawn,Polendine,50,spolendine6e@posterous.com,China,,red,3.7,McNuggets,Full-time,Male,1,1,0
